歴代,氏名,発足日,終了日
1,伊藤博文,明治18/12/22,明治21/4/30
2,黒田清隆,明治21/4/30,明治22/10/25
3,山縣有朋,明治22/12/24,明治24/5/6
4,松方正義,明治24/5/6,明治25/8/8
5,伊藤博文,明治25/8/8,明治29/8/31
6,松方正義,明治29/9/18,明治31/1/12
7,伊藤博文,明治31/1/12,明治31/6/30
8,大隈重信,明治31/6/30,明治31/11/8
9,山縣有朋,明治31/11/8,明治33/10/19
10,伊藤博文,明治33/10/19,明治34/5/10
11,桂 太郎,明治34/6/2,明治39/1/7
12,西園寺公望,明治39/1/7,明治41/7/14
13,桂 太郎,明治41/7/14,明治44/8/30
14,西園寺公望,明治44/8/30,大正元/12/21
15,桂 太郎,大正元/12/21,大正2/2/20
16,山本權兵衞,大正2/2/20,大正3/4/16
17,大隈重信,大正3/4/16,大正5/10/9
18,寺内正毅,大正5/10/9,大正7/9/29
19,原  敬,大正7/9/29,大正10/11/4
20,高橋是清,大正10/11/13,大正11/6/2
21,加藤友三郎,大正11/6/12,大正12/8/24
22,山本權兵衞,大正12/9/2,大正13/1/7
23,清浦奎吾,大正13/1/7,大正13/6/11
24,加藤高明,大正13/6/11,大正15/1/28
25,若槻禮次郎,大正15/1/30,昭和2/4/20
26,田中義一,昭和2/4/20,昭和4/7/2
27,濱口雄幸,昭和4/7/2,昭和6/4/14
28,若槻禮次郎,昭和6/4/14,昭和6/12/13
29,犬養 毅,昭和6/12/13,昭和7/5/16
30,齋藤 實,昭和7/5/26,昭和9/7/8
31,岡田啓介,昭和9/7/8,昭和11/3/9
32,廣田弘毅,昭和11/3/9,昭和12/2/2
33,林 銑十郎,昭和12/2/2,昭和12/6/4
34,近衞文麿,昭和12/6/4,昭和14/1/5
35,平沼騏一郎,昭和14/1/5,昭和14/8/30
36,阿部信行,昭和14/8/30,昭和15/1/16
37,米内光政,昭和15/1/16,昭和15/7/22
38,近衞文麿,昭和15/7/22,昭和16/7/18
39,近衞文麿,昭和16/7/18,昭和16/10/18
40,東條英機,昭和16/10/18,昭和19/7/22
41,小磯國昭,昭和19/7/22,昭和20/4/7
42,鈴木貫太郎,昭和20/4/7,昭和20/8/17
43,東久邇宮稔彦王,昭和20/8/17,昭和20/10/9
44,幣原喜重郎,昭和20/10/9,昭和21/5/22
45,吉田 茂,昭和21/5/22,昭和22/5/24
46,片山 哲,昭和22/5/24,昭和23/3/10
47,芦田 均,昭和23/3/10,昭和23/10/15
48,吉田 茂,昭和23/10/15,昭和24/2/16
49,吉田 茂,昭和24/2/16,昭和27/10/30
50,吉田 茂,昭和27/10/30,昭和28/5/21
51,吉田 茂,昭和28/5/21,昭和29/12/10
52,鳩山一郎,昭和29/12/10,昭和30/3/19
53,鳩山一郎,昭和30/3/19,昭和30/11/22
54,鳩山一郎,昭和30/11/22,昭和31/12/23
55,石橋湛山,昭和31/12/23,昭和32/2/25
56,岸 信介,昭和32/2/25,昭和33/6/12
57,岸 信介,昭和33/6/12,昭和35/7/19
58,池田勇人,昭和35/7/19,昭和35/12/8
59,池田勇人,昭和35/12/8,昭和38/12/9
60,池田勇人,昭和38/12/9,昭和39/11/9
61,佐藤榮作,昭和39/11/9,昭和42/2/17
62,佐藤榮作,昭和42/2/17,昭和45/1/14
63,佐藤榮作,昭和45/1/14,昭和47/7/7
64,田中角榮,昭和47/7/7,昭和47/12/22
65,田中角榮,昭和47/12/22,昭和49/12/9
66,三木武夫,昭和49/12/9,昭和51/12/24
67,福田赳夫,昭和51/12/24,昭和53/12/7
68,大平正芳,昭和53/12/7,昭和54/11/9
69,大平正芳,昭和54/11/9,昭和55/6/12
70,鈴木善幸,昭和55/7/17,昭和57/11/27
71,中曽根康弘,昭和57/11/27,昭和58/12/27
72,中曽根康弘,昭和58/12/27,昭和61/7/22
73,中曽根康弘,昭和61/7/22,昭和62/11/6
74,竹下 登,昭和62/11/6,平成元/6/3
75,宇野宗佑,平成元/6/3,平成元/8/10
76,海部俊樹,平成元/8/10,平成2/2/28
77,海部俊樹,平成2/2/28,平成3/11/5
78,宮澤喜一,平成3/11/5,平成5/8/9
79,細川護煕,平成5/8/9,平成6/4/28
80,羽田 孜,平成6/4/28,平成6/6/30
81,村山富市,平成6/6/30,平成8/1/11
82,橋本龍太郎,平成8/1/11,平成8/11/7
83,橋本龍太郎,平成8/11/7,平成10/7/30
84,小渕恵三,平成10/7/30,平成12/04/05
85,森 喜朗,平成12/04/05,平成12/07/04
86,森 喜朗,平成12/07/04,平成13/4/26
87,小泉純一郎,平成13/4/26,平成15/11/19
88,小泉純一郎,平成15/11/19,平成17/9/21
89,小泉純一郎,平成17/9/21,平成18/9/26
90,安倍晋三（第1次）,平成18/9/26,平成19/9/26
91,福田康夫,平成19/9/26,平成20/9/24
92,麻生太郎,平成20/9/24,平成21/9/16
93,鳩山由紀夫,平成21/9/16,平成22/6/8
94,菅直人,平成22/6/8,平成23/9/2
95,野田佳彦,平成23/9/2,平成24/12/26
96,安倍晋三（第2次）,平成24/12/26,平成26/12/24
97,安倍晋三（第3次）,平成26/12/24,平成29/11/1
98,安倍晋三（第4次）,平成29/11/1,令和2/9/16
99,菅義偉,令和2/9/16,令和3/10/4
100,岸田文雄,令和3/10/4,令和3/11/10
101,岸田文雄,令和3/11/10,令和6/10/1
102,石破茂,令和6/10/1,令和6/11/11
103,石破茂,令和6/11/11,令和7/10/21
104,高市早苗,令和7/10/21,令和8/2/18
105,高市早苗,令和8/2/18,
